そだぞ	私は美少女戦士前原だよ
好き	やったー 私も好きです 
まって緊張	私も
今度はもっと大きくペンラ振りますww	私も振る 
とっても美味しかったです 	私の分は…  ´ч  
野鳥の鳴き声も聴けるぜ	これで私も文学少女の仲間入りね…
日曜だからまだみんな結構寝てるかな 	私は珍しく起きている
毎日酒の話しかしてないな…	私も…笑
いた  割と上の方じゃんらぶ	私のなかではもうちょい上 らぶ
しぬ顎いるんだけど	私の中の顎が……
複雑すぎる   	私の生き霊は世界を超える 
坊主楽しみだわ	私、失敗しないので。
名場面ですよね私も好きな場面です。	はい、私も大好きです 
男の中では低身長なんじゃ、、、泣いた	私より高かったら良いかなぁ笑
ごはん️へぇーそうなんだ	私も意外だった️
お母さんもお父さんもがんばれ	私嘘つきました
会お会おみそらと会いたい	私もりあちゅんと会いたい
よし、洗濯だ、洗濯w	私も今から洗濯です
小指カクカクするの腱鞘炎らしい	そうなんだ私もカクカクしてる笑
誤字りすぎて削除祭り	私も誤字しかないww
サイコーじゃん…   	近づくと火傷するぜ 私が 
自分もずーっと悩んでます	私は買うことにしました
了解だよ 通知オンにしたよ 	私もしたよ 
バレちゃいましたね	きたまだ私も雅治やったわ
そ、美味かった	朝ラー良いね私は今コメダにいる
フレなろう、私下手だからたのんだ、	ちなみに私も下手だ
あヴィルトゥオシタがお邪魔	買ってない私が悪いんです
敵の紫絶対味方になりますよ	私もそう思ってます。
助けてください過去一荒野行動下手です	いつでも下手だよ私 ´ω っ 3
ゆきのちゃん リアルに雪降ってるよ 	だって私雪女だもん️
凄い 偉いね	私もびっくりした  ありがとう
すき	私も好き 
えっそんなに並んでるんですか……  	私はもう20分くらい並んでますね……
みんなパンフって買う    	私は買う 写真集みたいで面白いのよ
あたしもハートキュアウォッチほしー	結構便利そうだから私もほしー
納入しました	私も納品したい  8  
なんですかなんですか  	私の中の最近の流行です
じゃあゴロゴロかな	私今日は仕事なんで
顎顎	ねぇ私と同じこと考えてるんだけどやめて
ぜひたくさんお話しようね	私も絡みに行くから仲良くしてね
健全よ	私の方が健全まであるね
鯉月にいっぱい騒いで今日は幸せです。	私も楽しかったです 是非また️
おはようこの口がかわいい	私も好きだよ二人唇
頑張ってください 	ありがとうございます私負けない 
おらぁ 	今のところ私が有利だね
はやっ   こめこめ 	私についてこられるか
モーひとりのぽんちゃんだったねw	私煽らん
やん…好き…	やん…私も好きです…
すんごい偏見で笑ったwww	私の偏見は  
おはよ 寝すぎた  	おはよー 私も寝すぎたかも
「グポーンッ」って聴こえましたわ	起動に時間がかかる私…起動したいっ 
ぽ	私のこと好きそu    
お気に入り ヤンプって名乗りたい	私のプロフ見て
岡山️	えっ  私広島なので隣だ   
専属ネイリストナレナイネ	私を実験台にして  
それ 	私もするか 
同い年で関東出身なので嬉しいです 	わわ それは私も嬉しい  
仙台くるんだ…初めて知った	私も友達に言われて知ったwww
半年くらい休んでるので練習します	私も結構久しぶりなので…練習しなきゃw
ごめんほんとにぶすなんだ、、、	絶対可愛いじゃんか私分かるよ   
私彼氏な´ 	私彼女   
居ないと無理だなんてまぁ 	そりゃあなゆにいいないと私無理だろうな
よかった 仲間いた	いぇいいぇい  私も安心笑
フォローお願いします	え、私が 
今、卵かけご飯食べたよ	そうなんだね。私は焼きそば。
フォロー失礼します	ありがとう  私もポ女です 
そーなの  どゆやつ買うのー  	私も緑系統の服買う
久々麻雀出来て楽しかったな	私ともしてくださいね。
ありがとうございます震えました	私も良い震えを体験してみたいです笑
大好きだからかな︎	私もすき   
すご ﾟoﾟ 	私は本当にエディ君のことを愛している
彰良センセー好きです	私も好きです
結構近いな	そうだよだから私はそろそろ予約する
あああDM返してない自分の馬鹿野郎	大丈夫私もDM返してない おい 
06 19	あらっ  私と近いわ
おはよ  けどまだ眠い w	おはよう  私も眠いw
ちょっと酔った好き	かわいいなw私も好きだよ 
大正解です…w	やはり‥私も本線民でしてな
ストーブの前でよくやってる	リアルの私wストーブ独占しますもの
そんなん言われてみたいですね	私も言ってみたいです笑
校内で6位だから大したことないよ	私は校内で100位くらいだよ  
konohaさん力強すぎ   	私じゃなくて風だからな
回鍋肉好きやねん	そうなんだ私は野菜のみ食べた 笑 
そう️念の為にたくさん食べる←	私の推しのお祝いもありがとう️←
かわいいね	ふふ私は烏龍茶に入れたよ
雪えぐすぎる	私の所大雨️
カービィすき	私も好き
やっぱ人外、 	私まだ人…
あさからみるくだいすきだよちゆ	私もだいすきだよちゆ
ワシの方が好き	私を沼らせてどうするのっっっ
昔の私w   	ならば私も進化する
結構難しいのか	私の問題だからね
すきぴだよ ˊᵕˋ 	私も好きぴだよ
ヤマトで配送ロッカーを使うのです	私の通勤経路にあれば使う。ない。
許せません	私が代わりに許すよ、マリアだから。
字幕ならあるけど集中できん	そうなんだ、私は字幕派だわ
しよしよ 私の楽しみや	だる絡みするのは私たちのきまり
喧嘩しよか	私が勝っちゃうけど
もうさむいのあきた。	私も…
70定期	違うもん私70あるもん 
21日でエントリーしました	私も同じ日です
いい加減ヴァレンティオンせな	私かな 
チョコあげる 	蒼龍 私からもお返しにチョコをあげよう
嗚呼あああくれ	私が今日出かける場所はどこでしょう  
思ったよりすぐ取れたわ	あんスタライビュですか 私もです
僕もお腹すいたかもー	私は成長したぞ とても美味
ねむたぁぁぁぁ	わかりみ深い。布団が私を離さへん…
確定申告せねば。	私もしなきゃ
彼女ですかお兄さん	いいえ。私の推しです
どゆこと	昨日の私に聞いてください
ありがとーううう何百個ぶりかな…	私も欲しい まだ貰えない…
あっ。晴れ着だなんて、ずるいわッ	私の装備はコレなんでね残念だったね
正解です 	Σb ｀・ω・´ グッ私もです
よく食べる子は好き  ・ω・ 	私のことだね
はぁ…よく寝たぜ	Maya 私は…悪夢を見てしまってな…
ありがとー 	えっ私にも書いてほし      
かりんタンには負けるけどね 笑	私、もらってないですよ コソ 
ツイート見つけますね	私も見つけます︎笑笑
早い    ﾟДﾟ   	当然 私が1番だから、私のリプ採用だw
まるのりしますからね️	私はいたって本気です←小声
ショタの神だ、、、	私はショタの神だよん
あったかい … むぎゅ  	私も   むぎゅっ 
逆にそのへん苦手…でも古典は得意	私は現文の方が得意ではあるんだよなあw
ヾ 。 gt ﹏ lt 。 ノﾞ	私チワワて呼ばれてます
すき	私も大好きです 
子どもたちと全力で遊びます     	もっちゃんさん私もです     
ぬくまっているのきもちよいのだにゃ	ここのブースは私のだにゃ
ねぇー 笑	私はその時リスナーだったもんwww
アドマイヤベガ 俺まだ持ってないなー	私も持ってないけど可愛い
ゲームかな 	私も早くやりたいなあ
くそ怖い夢見た	私なぞい夢見た
ニコニコネギ玉牛丼食べます	私も早く食べたくてウズウズしてる
こんなの見習っちゃダメよwww	私の鑑よ
わー 私もいる嬉しい️	まいまいちゃーん私も嬉しいよ 
ううん、ももちゃがかわいいの	違うよ、ゆうが私をかわいくしてるの
これは最高のスイーツ	私もそう思います
嗨	私訊 
通知画面おかしくない 私だけ 	私も
そーなん 	私のTwitterでは全然見ないwww
久々にお会いできるの嬉しいです	私もですめっちゃ嬉しいー 
本当に変な夢なのか 笑 	私は看護師役
だれた 1人ブロ解したやつ	私じゃない
将軍凸しなくていいの 	私の将軍様は2凸しているのだ 
2部と3部いまーす	私も二部と三部でーす
あたしもだよまだ育つらしい	もう私は横にしか伸びない
華のセブンティーンやん	私の場合鼻のセブンティーンw
私は、平日の朝よく見る 	一緒私も平日よく見るよ
座敷わらしの仕業だな	やっぱ私かσ ๑꒪̐ꈊ͒꒪̐ ๑ 
ガストもサイゼも好き	私のことは 
びっくりした	私もびっくりした
がちそれなwwてかさあたん元気かよ	私が元気じゃないと思う ww
そうなると良いのですが	ぜひ そうだと私が昇天します  笑 
Twitterバグ多いぞ	私も
でも、いい知らせじゃない気が…	でも私もそんな気がする
私もともちゃんすき 違っ 	私もういちゃんすき  正解 
正直、男の裸なんか見たないねんけどな	えっ、私は見たいですが…
好きだよ	私もえらくん大好きです
若くないのだよ	私も若くないよ
運動しないからなぁw	あーなるほどねえw私もだけどww
写真集は高いので図書館で借りました 	私は文庫買いました 
パムパムだけ喋るの  	私もびっくりしました
やっぱ私ジェヒョクは黒髪1択	私もそう思う 
ポインティ面白いよね私も好き	私も好きでついつい見ちゃう️
新しいの知らなったです	令和版は私も見てないです    
カワイイすぎて何回も見てしまったよ 	私もう失神してた
ハジメ そりゃそうだろ	……私の感覚…間違ってない… 
分かる、そしてまだ出られない←	私は出たぞ w
愛してる╰  ´︶   ╯	ありがとう私も愛してるで 
うわぁ…相当積もるんだろうなぁ…	私の地元は降りますね
ありがと好き	私も好き  ️
樹くんからファンサ貰ったことある 	私今年初参戦なんだ
現実では返事んなの直したい	私、せやな率高いな、、、
はい、天才   	はい、私も天才   
テス勉頑張るぞえいえいおー   	私も勉強頑張るぞーおー 
ほのちゃありがとう すきだ 	私も大好きよおおお
笑い方   がなんかやべぇww	だろ 流石私達    
お腹痛い ´・ω・｀ 	私も笑
大人になれない‍️	私も‍
猫に詳しい人いないのかな	私もそう思いました
今アパマンショップのCMみた	私は、平日の朝よく見る 
絶対買うぅホットドックセット	安いし美味しいよね私も必ず買う
そんな貴方にソリッドゴールド	それでも私はボックスファイト
え、多分みんな存じてる公式やで 笑	私のフォロワー優秀過ぎる笑️
好きだー 	私の方が好きだ    
お笑いモンスター   	私の自慢の1つです️
最近と‍️の絵文字乱用してる	私 ՞ټ՞ これ
ティニーちゃんおはよう朝早いねー	今日は休みだから遅いよ私
良い匂い	私のパンツでも嗅いでなさい
はい 	私が輪廻になるよ
ずるい	私の顔だよ…
スペース入れなかった	私もです……
アナゴが好きです	穴子私も大好きです ͟͟͞͞
ちょっとボク…コミュ障だから…	コミュ障  私と仲間だね 
ホンマにアルコールでビビってる	いぇい私すごいでしょ️  
タイテE4が2回になっててིྀ	それ私も思ったけどw
ネタバレくらって泣きそうになってます	私リアル泣いた笑
らいはちゃん 愛してる 	ありがとう私も愛してるで 
うん よろしくね ダル絡み大歓迎  	お やった  私も ´   b
やっぱり 褒めて 	私しまってるもんしまっちゃうおばさん
私です お願いしますテイラー様 	じゃぁマットの顔私の足で踏むね
ちょっともっかい寝る 爆笑爆笑	私も寝るおやすみw
かのぴたん    ふふふすき	めぷたん 私も好き
わかんないの……	私も…
ほのちゃありがとう すきだ 	私も大好きよおおお
薬屋は電子書籍で一気に買った	私は紙の方で買いました 
ギターひけん	あら、、私も引けないw
顔面工事するよ   ̈   笑 	私一回職場いくよ くっそ 
やっすい狭山茶だけどね	私も安いの飲んでる
マジ無理可愛すぎて死にそう	かわ死んだら私のせいじゃん捕まっちゃう
え、携帯モードでリグマいける 	私いつも携帯モードだよ
良かったwwwwwww	え、私バグってる 聞こない wwwww
まけへんでー	そう 続けてるうちは私の勝ち思てる
甘いの1発目飲んじゃってください	私のガソリン
こっちは上野まで行かないと	私も上野ならすぐ行ける
スクは全然やってない  プラチナw	私デュオがダイヤだからまだ出来るかも
おはようです。	おはよ…。私 ね、眠くなんか…。
ベッドでごろごろたいむ	私も今それ……ww
ピンクだよ一緒に探してねww	変な男に取られる前に私が探す   
77連かな  	私今65連までしてるのよね  
はいっ 	ありがとう  私も会ってみたい  
ナイトが言ったんだよ 	……私もわかんない…
喜んでもらえて良かった  	私も頑張って送っとく…待っとけよ
えへへ 捕まえた 	アリス ふふ… 私の負けね なでなで
リザピカ以外はほぼ変わってないw	私もあんま変わらんにゃ……  
あまりいいたくないが、魂だけ仙台へ	私も
愛しとるよ 	ありがと 私もですよ 
どっかのヒーター付けっぱなし説	私が外出してる時に誰か住んでる説
はーい わtしもらいちゃんが大好き	ありがとう私も大好きだよ 
間違いない‍️	私らもがんばろ 笑 
タメOKの人教えてくだぱい‍️	私で良ければ……
これはどこからの情報ですか 	私のツイートを遡ってもらえば
大量買いですね  	私は買ってません 
ん…    見つめ合って 	私はあの聖女様じゃないのよ…    
ヒマです	私に言われてもなぁ ´・ω・｀ 
ジャージの人いないよ 	あれ…つまりあれは私じゃナイ…  
ミルク 隠語 	私、カルピスは飲めないからね
消えたらあかんで	うおぉ   寝るな私
まゆちゃん大好き	私も大好きよ
ありがとー 大好きー 	私も大好きだよ 
白桃はメイトについた	私とも……私とも行こうね…… 
まこありがとう大好き	いーえっ私も大好きでやんす
最初誰だか分からなかったです	私です 笑
シャワーしてきた	私も洗顔してこよーっと
やめろって打ってる時私も思ったって	私たちもうケガレだね…
ありがとう️行ってきまーす	私は、仕事して来ます
お迎えありがとうございますっ	私はシズク 
そもそもあんまりネットで買わんなwww	私はたまにくらいかなww
ごめんね私不純だった	やめろって打ってる時私も思ったって
いるやつおる   	んー私はおらんな…
  ˙ω˙  وグッ 	お姉様を私に下さい
やさしいしゅき  	僕も      お巡りさん私です 
ってか、私もやってみたら同じだった	私たち似てるのね
おかしいなぁ  	私 999…
よく寝た 	私もー
スペース入れなかった	私も。いい子だから寝てたよ
私もらいはちゃん大好き        	ありがとう私も大好きだよ 
さなさんすきなのでー    	嬉しい私ももち大好き
ちょっと酔った好き	私も好き
死ぬまでにいい顔になるよう努めます	私も道半ばです頑張ります
超新星出たわね	私が浪人界隈の星
僕もそういう大人になりそうです←	私もそうかもしれん←
なんでないって分かるのw	私の感 www
世代です	私もです
やばいよね  	私はまだ入れられてないけど…  
私も一緒	私も
楽しみですうぅ  	私もですぅ
それ正解やな	私も同じく
了解ですゆず呼びします‍️	わーい 私はなんてお呼びしましょう
そんなん無い ✧Д✧ カッ  	私が主催しますので ๑•̀ㅁ•́๑ ✧
いや私が先だ   	いや私が先だ、でないと   
おはよまだねむい	おはよ私もねむい
わかった マヨちゃん 	はい 私は、なんて呼んだらいいかな 
出勤日じゃなかった…	私は先日2回目やりました。。。
そろそろフートンから出たいもんだな…	私はこれからおやすみしたいです
お腹すいた 、	私も
ありがと。この後がだめだめだった、、、	安心して 私は最初からダメダメだから 
大好き  	私もよん
 な…何と返せばいい…… 	パパです。私がパパですよ、レグ。
誰にもつっこまれなくて恥ずかしい	私、密かにツボったから大丈夫
美味しそうですなぁ頂戴	私の胃袋に保管されました笑笑
マシュマロ     	私は焼きマシュマロが好きだよ
私も幸せなのら❀  ´    ❀	私も
嫌いなトマトもアヒージョなら	いや、私は食べなかったです
勃ってます	私のパンツでも嗅いでなさい
普通に家出るの遅れた️	私も️‍
1番暴言吐くのに…	私暴言吐かないだろ
生きてりゃいいべつに	わかる、私がわからなくても生きてれば
こういうコラボをやってるのねー。	こういうコラボにすぐ飛びつく私ですw
私いま6000	なるほど、私今13000とかかな、 
おは	あ、私の夫にセクハラしてた人
来世は結婚をせずに生きていきたいです	私もです ｀・ω・´ ゞ
伝達講習お願いします 	私にそんな能力はない️
おえりちゃんもやってるのねー	私は、ちょっとだけだけどね
馬渡信者になりました	私は愛人にしてほしいです
来い、サクラ 	私はここに居るわ。ずっとアナタの傍に。
この子はいったい誰 ←	いやいや私染めたのさあああ 
文字が多い	文字が多い️私がかな️
明日にするか… つㅁ•    ﾟﾟﾟ	長いな私も、見ようかなあ
私、君がいないと生きてけない	私も
7本あったりして	私がIPPON
ねろぴの朝は早い	私の朝も早い
2 3 12 14 16	うわあ私も会いたい
一応しんだ	私のためにいきかえって
買う気満々だったのに	私もです。復活してくれるといいんですが
ブーメラン	私は違う
お、おはよう…… あれ 	えへ私たちオール組  
てかはなの返信早怖いんだけど  	朝から行動してます私‍️
なるほどね	誰かが喜んで使ってくれれば私は嬉しい
すごい️めっちゃかわいい	ありがと️アピールしまくりたい私
まあそこは俺が考える ´ー  	私が最終的にできるか考えますけどね 
ゆきちゃん好き。ちゅ	かわいー 私も好きー 
むしろ抱いてやる 	私のほうは睡魔に奪われる
たまご、厚いですね	私も、ぶ『熱く』ありたいです
すにはどこにでもいるよ  	私はポケモンかなんか    
コレは…ﾟ o。   ﾟOﾟ  ww	私一体何買ったんだと悩みましたwww
何のプロデューサーなんだかw	それを言うなら私の山Pも気になる
ありゃま	私のRについて来れますか  
時短命令無視店を応援します。	私も
おーはーよー起きてもイケメンだった	おはよ私も相変わらずだった
買う気ではいるけどまだ予約してましぇん	私も買う気になった  
大好き️	ありがとう私も大好きだよ 
歌舞伎町にー行きたーい	私も行きたいー  
エビになっちゃう    	私がエビになっても友達でいてね
らいんをおくった	私にみんな、私にだぞ
ママのおっぱいもみ倒しておきます	それは私のおっぱいだ  
え ヘルニア 誰が  	私です
1人でも記憶飛ぶほど酒飲む人いるんかな	それは私ですwww
と、肩ぁぁ	肩は私もしんでるw
どぼはヨンフンだよ	あら 私もヨンフンだよー️
分かれてて迷いが生じてきた笑	私も迷った、、嘘Tもあるし
あたしゃ1 52 0…	私もすぐに追いつくよ
そー おれんじ 	私頼んだよ届いた
下半身に感度生えるのももうすぐ️	そうなったら私はどうなってしまうの…
はい‍️全力で会いにいくよ	はい‍️私も全力で会う  
きなこ「認知よこせこら 」	今日の私完全にそれだったwww
あいみちゃん わかりました	私はなんとお呼びしたらいいですか 
分からない… ´・ω・｀ 	私もだけど
URひなたどこ… 	私が聞きたいですよ 
休み…	私のバイト行ってこいや
色々想像してニヤニヤしてる	色々…私と同じ感じで想像してるかしら
え 	これ私と同じアイコンの人だよね  
もしかしてオハオハですかー  	えっ  私はモデリスタです
まおって呼びますね 	私どうします
女声常中しよう	私もしよう
写真上がるのが楽しみ  ´ω   	私もすごく楽しみです
朝一の牛乳	私は珈琲ですかね
かうちゃ  らぶです、、	ゆいちゃん   私もらぶです 
よしあたしの勝ちだ マテ	切歌 私も探すデスよ… ←ヤメロ
そー 愛知 みさともだよね 	そう 私も愛知 一緒なの嬉しい
最近深夜までゲームやってますなw	実は私も笑
会える 会う 幸せ	私にも会えるよ      うるさい 
どんな発見カナ 。・∀・。 	私との
はい インゴ様もどうですか 	私はおやつが良いデス
ありがとうダーイスキ	私もダーイスキ
私もわいだんトーク聞きたいな……	私もリスナーしたい…
スクワッド頑張ります	私の身内がかっあ
じゃあ、仲良く共同経営しましょう	1 9← 私 で️
わぁ︎️かわいい	いつも…無糖の私には甘すぎ笑
リコさんなら埋もれてしまう	あれ️私ミニマムサイズ設定
もちろん 5と6の区別つきません笑	はい 私もつきません
3、4、16  	私も会いたい抱きつきたい  
向かい飛車は人を選ぶ	私は選ばれなかったようです笑
それ、ですよね	私にはほとんど無理どす
今アパマンショップのCMみた	え 私も 
そそ そうじゃないと平日とか死ぬしw	よし、私が無理やり起こしてやるか←
気が付かなかった・・・	私にはこれにしか見えなかったです笑
公式からの応援凄すぎん 	私には一生なさそうです  
ここまで診断するサイトあるのやばすぎ笑	これ一応1回私が答えてるからね 
最近Twitter調子悪くない  	私は問題を抱えていません 
わかりみ	やはり私だけじゃなかったか…️
ぎうたん 	ぎうたん私たべられにゃい
ドヨンしか考えてないから	私のこともでしょ 
別垢の稼働率がやばくて	私のせいだねごめんね 
質問かもん 	私のこと好き   殴殴
愛してるよ	私も愛してる
えんりょないの	酷い私泣くからね
富豪はあなた	私は一般庶民です
たくさん連れてくよーん 会おうね 	私もつれてくよ たのしみ
起こしました	ありがとう私の為に色々計算してくれて
ばいばい ・∇・ 	うわ私かわいそ
あ別れたくねぇーww	じゃ、別れたら私と付き合ってくれん 
イカメン	こんな感じの顔の私です
SOAGAYYY	私は同性愛者です
大集合️	私好みの男いっぱいで最高です
画像送りまくったらDM使えんくなった	DMなおったら私にもちょーだい
すねた  ー  じのがすねた   	拗ねてないけどまあでも私はるるすきだよ
好き	私も好き露出おばさんした甲斐ある
それすごく悩んでます。	私もずっとずーっと悩んでました
ちょッだけ寝たわ	偉い 私は寝てない 
自発頑張る   ˙˙  	え  うれしい   私も頑張るね
私は実は、ダメ人間なんです	私もです
シーさんどこに居るの  	私はここにいますwww
ひぇぇ…ひめちゃありがと…好き…	私まじで絵下手だから尊敬なんだが… 
私は一般庶民です	私も一般庶民です
一緒に幸せになりたいなあ	私もです 
この可愛い人はみぃさん 	ズラ被った私
めっちゃ気になる フライング   	私にだけサプライズ️
ぬれお  美味しそう️	ぬれおんな妖怪大戦争で私は見た
大好きだから 	嬉しい  私も大好き 
ネタバレ食らっただめだもうだめだ	私もです
大好きいぃ 	私もぉぉぉおおおっっっっ ᐟ ᐟ ᐟ
いつも見てます…… 小声 	ろくみつさん…私もいつも見てます…
、、、恋 	私って恋多き女なんですね
よろしくお願いしますー️	私も呼びタメ大歓迎です 
ヽ  ﾟ∀ﾟ ノヽ ﾟ∀ﾟ  ノ	ビールは私の燃料です笑
おは姐昨日の夜マックでした	ナイスです 私も昼マックでした
すきだいすき	私もせいちゃん好き大好きっ 
ありがとうございます️	私は居ませんが
ボクが尿もれ みたいな 	いや、私が ww
ありがとう宝物やわ。	私も今日こそwあたれぇー
即落ち2コマ草	私もびっくりしましたww
黒ねー。相談してみるわwww	あくまでも、私の意見です
話すこと、、どうしよ、	話すこと決まった⁇私まだ笑
辛い…フランクフルトチンしてやる…	私のポークビッツはいかがですか 
ガチ寸やんww	私寸止めのプロらしいwww
素晴らしい2度に分けるわw	多分私も2度目買う…
コイツまじで働いてねぇ      	私の分の報酬は貴兄らで山分けしたまえ
めっちゃ大切だよ 大好き 	ありがとう私も大好きだよ 
だよねだよね危なかった…………	6人が元気なら私らも元気になれるからね
元カノと私を比べるな。	私は私なのに。。。
まだ俺は人間だから大丈夫	私からするともうバケモン
あ、中1の頃の元カレ…	ウソッ  私のよ 
すき	私も好きー 
病みすぎて今日は何も手につかん	私も同じようなものですよ。
段々と見えにくくなってきますよね	私、数年前急に来ましたよ
食べホに行くヨ  	私の分も食べてきて
大人の色気が欲しいです	私もだお互い頑張ろ
すきすき	私もらぶ
もっと気楽に話してほしい  	私の気が済むまで終わりませんよ 
今は1チャンて言わないのか。NHK	私は未だに言う
結果は報告しますね笑	私も膣締めて正座で待ってますね
えへへ…結婚しよ…	もう私の嫁……
ちょっと酔った好き	かわいい…私も好き  
うん、とりあえずなにしてん 	私も聞きたい
杏樹のはテンポが良くて秀逸でしたなあ。	私もあれは素晴らしいと思ってました。
枕を濡らしながらふて寝します	私もふて寝したい気分次第です 笑 
さすが運ゲー	これは私たちのグラⅢです
ファン太さんだしってるすげ	私も昔動画見てたから嬉しいっ    
美味しいよ ノ´∀   	私も食べたかった ´ ω ｀ 
おしごとへ	私もお仕事
草	これ私悪くないよ 
らぶ	私もらぶ
うん  コミュ障なんのは許してちょ	私もコミュ障だから安心して笑笑
かわたにちゃん今日もすきおはよ	私も好きだよおはよ 
もう少ししたら寝るよ	寝てください 私も二度寝します
それいいですね私もデートします	是非私もすみれさんとデートしたーい
やはりナポレオン…	私ただのツイ廃ですね…
ナスダックのチャート 	私の資産推移です
上手いねぇ笑	二本指私射撃ボタン  レート上がるから
わわ やった️今から楽しみだ	ね️私も楽しみ
幸せでした️	私もですー  
もうすぐしたら、桜島駅に着くwww	もう並んでる私笑
すき	私もすきです
疲れてんだな 笑 	私と一緒だな…
なら一緒に突っ込み愛しよう←は 	え  私が突っ込む方じゃないの  
推しは推せる時に推せ。推しが尊い。	同感です私の推しは海の向こう
美味しかったよねー次はホット	私も次はホット飲む
  ω   	私は不幸にするって…
どれ 	私が聞きたい
お寿司大好き	私も好き
この時間、私は幸せでした。 翻訳 	私も幸せでした…ほほほ…️
リア凸アゲ	私もリア凸したいー    
さばであったことなかたけ	私ディスコしてないよん 
なんかもう想像してたのと違う雪ww	私たち盛られてますねw
賞味期限1 15のあさげ…どう 	私なら食べます
デスコの垢 は一応ありますよ	私の所に入りませんか・ω・
おはよよーん寒い	私も寒いです…
洒落にならないから	私はいつも本気よ
早く次の新しいやつ出ないかなぁ	私も新作がたのしみー
いやそれ監禁状態 犯罪 	私もボムギュ家にいたら監禁ちゃう  
には違いがわからないと思う 笑 	私も自信が無いよ楽しきゃいいや
それな	私の方がいいサイト作れるよ
うますぎますー おめですー	私もやっとできたよー ありがとー 
170連回して1回も出ないんですが	アリナリ時の私…がんばれ…
ロリ…	私、ロリじゃないですけど  
神の秘書病院に入院中なんですね。	私の所で治療を受けてます
GODIVAチョコクッキーうま	美味しいよね私も好き
ふむふむ	つまり私は RO RI 
你好啊可以認識嗎 我是高雄鳳山	嗨私啊
正解	やはり私は正しかった
おは伊丹ん今日も仕事だよーん	私は用事
埼玉	私も神奈川の東京側ですw
最近はじゃなくて私がね 笑	私がなのかw
可愛いよね 乗るか www	乗るー wwシナモン推しの私w
鹿児島から配達してください   	それは私です   無理です    
キルフェボン好きです。	私も好きですめちゃ美味しい
せなに嫉妬してるかもーって思った…	私に嫉妬するん  なぜに 笑
そして安定のくそ早く着くやーつ	私はトイレ列にいますよww
ちょっと酔った好き	私も 
好きー	私も次はどこの国か楽しみ
もち	じゃあ私もそうしよっかな
確実に太ったので明日からダイエットします	私も毎日そう思っています
次に会ったら癒してもらおかな w	私にゃ大したことはできないけどねw
しるみさんのご指示通り開催できました	私も探さんなんw
こっちは、バラバラだからね…起床時間が	私はいつもアラームを掛けてるから   
もっと可愛がられる	じゅんさん私も可愛がられたい 
まーちゃんのこと待ってんだよ	私もっと浮上しなきゃ………
どした 	私がききたいわw
子どもだからできる技‍️	私がやったらただの気持ち悪い人w
フォトセ何セット買えばええんや……	私と同じこと考えてて笑ったw
彼氏に会いに行きたくない…	私もよ
ヘブバンどう 面白い 	私は好きよ 
おでめとう	私も金玉すき
楽しみにしててね しないけど 	楽しみにしてる 私もしないけど 
なんか誰かに呼ばれた気がしたが	私かも
仲良くしてください	私と繋がりますか 
腹減ったな	私は今から寝るぞ 
了解です ひよさんって呼びます 	私はなんとお呼びすればいいでしょうか 
Kaoritaさん好き。	きゃーっ私もわんださんすきー 
右です	私も右です 笑
あと休みが足りない笑	休みか私も足りないww
お腹いたくって死	私も…   トイレと友達 
ちっこちゃんありがとー	良かった私も嬉しい️
すき	私も大好きですっ ᐟ ᐟ
私のコスプレデビュー同人イベントだし	私は高校の学祭ーっ 
信頼を積み上げていきます	ろくさん 私もコツコツ積みます  
おはりんりん無限	私も欲しいよ描ききる気持ち
今声死んでるけどいける  は	まて、私も寝起きだからwwwwwww
おっしゃあああああ 楽しみ	私も楽しみ   
ちょっと酔った好き	私もすき  
天了解した	私はなんてよぼ
マカロン食いたい	私も食べたい  ´﹃｀  
了解	私はなんてよぼ
あああああありんすきいい	私も大好き
最近、ミスド食べてないなぁ️	私も久々に食べました
大丈夫ですか 	ドアも私も痛手を負いました笑
人間性ピカピカになりたい	みやこさん、私たち一緒に
The散財	いや私は貯めるで絶対に。絶対
なんだよ ・ ・ 	私ちゃんとこのあとあうねんしゅうくんに
ぜひぜひ️です	ありがとう マの裏が私 
ダイナモ超むずくて使える気しないですw	私も使えないです
通知つけた 	やった 私もつけてる  
綺麗なものが見たい	私の心
早稲田ツアー開いて	実は、私もやりたいと思っていました
3分でこっちの駅方面にきて	沙耶伽さんの尻私叩けない
ボイメ    	ならば私の声出しを聞いて  w
ナイス	私が見に一回の  
むくみやばい	私もWWWWWWWW
私はエリンギ	「私はえのきかなぁ」
え るか、いつ消されたの 	私は消されてない 
無音wwww	私がこれやると何も無くなるwwwwww
うんうんなるべく自発いくね	私も 
猫ちゃんもぐっすり	私の腰を破壊しようとしてる猫ちゃん
うちもたまにある 笑 	私だけじゃなかった ﾟ∀ﾟ  
元々入れてるにょん 	いやうれし私も通知入れる 
今日の目標空転・滑走を一回もしない。	私には無理だ
逢坂さん言うわすれてた	私ですか 
眠くないのであります  ┐「ε   	なんで私は今起きた
じゃあ俺があげますね 	私手強いですよ 
俺も会いたい 早く 	私が飛ぶまで待ってて
どうしたのですか 	私のいいね欄に詳細があります。
ホーイ ∩´∀ ∩  ﾟ	私の好きなキャラ  
いいねのハート️横の↓	私には見えません
あ、キリヲ先輩も少ないです乙	私のキリヲ先輩ぃ… 
ほんとに 	   私そんなこと言ってた    
